FIPS,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Median Age,lon,lat,Adult.obesity,Diabetes,Uninsured,Unemployment
13277,24.1,75.9,16.3,7.1,75.6,21574.61619,59.15,28.15,0.1,1.4,0.75,10.5,38.65,14.6,41025.0,44.1,23.8,0.449,34.55,28.05,15.55,25.5,4.7,9.4,16.8,34.3,-83.5259307,31.4570027,0.32,0.134,0.271,0.102
13279,19.9,80.1,14.3,5.4,70.15,22948.501269999997,62.15,24.35,0.1,0.6,1.4,11.35,41.8,21.65,27412.0,35.1,27.4,0.479,37.35,29.15,15.6,23.6,6.35,12.3,13.0,35.2,-82.3320708,32.1266975,0.336,0.13699999999999998,0.242,0.106
13281,13.5,86.5,20.8,8.4,89.8,21998.63524,96.75,0.4,0.2,0.25,0.5,1.9,16.45,8.25,10611.0,67.1,9.45,0.405,15.15,23.45,16.8,30.0,0.4,19.45,9.9,49.3,-83.7321583,34.9026495,0.27399999999999997,0.141,0.21899999999999997,0.083
13283,27.0,73.0,9.9,2.4,72.45,22879.16889,64.95,33.2,0.05,0.35,0.4,1.05,27.0,16.4,6896.0,50.7,27.05,0.46799999999999997,37.15,32.3,16.8,22.25,0.55,11.2,16.9,36.9,-82.5708819,32.4095857,0.348,0.12300000000000001,0.215,0.14
13285,20.7,79.3,19.4,6.9,75.8,24154.25492,61.4,33.2,0.15,1.25,1.15,2.9,30.8,14.55,65229.0,51.5,19.25,0.43799999999999994,28.85,28.0,18.1,23.25,0.3,9.8,20.55,35.8,-85.02835999999999,33.034482000000004,0.309,0.13699999999999998,0.212,0.10099999999999999
13287,31.5,68.5,13.2,6.0,72.95,18596.7054,54.45,40.6,0.25,0.3,0.75,3.65,36.65,17.65,9152.0,75.2,25.65,0.462,31.4,26.55,21.7,23.15,4.1,8.15,16.35,36.6,-83.6285665,31.7182318,0.326,0.134,0.26,0.096
13289,38.6,61.4,6.7,1.2,67.05,27578.72254,56.3,41.4,0.15,0.1,0.85,1.2,30.85,19.85,9641.0,33.1,19.75,0.489,27.25,29.3,17.75,22.15,1.05,9.15,20.6,41.2,-83.4258792,32.6658469,0.32,0.149,0.209,0.125
13291,17.1,82.9,21.6,8.2,76.3,23450.56222,95.5,0.75,0.3,0.4,1.2,1.85,14.6,10.75,21027.0,50.7,13.65,0.462,12.4,33.3,19.2,26.15,1.75,8.85,10.65,49.2,-83.98957270000001,34.8337696,0.266,0.139,0.23399999999999999,0.07400000000000001
13293,23.9,76.1,11.3,4.4,74.8,23351.04476,68.4,27.85,0.2,0.6,0.8,2.2,30.45,11.9,27327.0,47.4,20.75,0.41100000000000003,26.5,22.1,20.2,22.0,0.8,12.5,22.45,39.1,-84.292281,32.88183660000001,0.344,0.136,0.209,0.111
13295,23.8,76.2,12.8,4.2,73.1,26178.86032,92.3,4.1,0.25,0.4,1.5,1.4,23.95,9.45,66525.0,35.8,15.1,0.426,19.75,25.25,14.4,25.45,0.35,10.95,23.5,39.0,-85.3053852,34.7358269,0.32,0.132,0.198,0.077
13297,19.6,80.4,17.3,5.3,73.75,29155.95143,78.9,15.45,0.3,1.1,1.0,3.1,22.25,8.85,83005.0,44.2,12.15,0.40700000000000003,17.7,26.8,14.8,29.15,0.4,14.05,14.75,37.0,-83.7342152,33.7826485,0.28300000000000003,0.114,0.203,0.085
13299,20.4,79.6,12.2,6.2,72.1,23820.65969,66.3,28.55,0.3,0.75,0.95,3.2,35.2,10.25,35985.0,39.5,20.65,0.465,32.6,27.2,16.1,25.15,1.0,12.15,18.4,37.3,-82.42150720000001,31.050881,0.341,0.14800000000000002,0.225,0.111
13301,30.4,69.6,4.7,1.5,73.95,23740.867619999997,39.0,59.65,0.15,0.3,0.35,0.6,45.5,18.25,5860.0,63.4,22.5,0.46799999999999997,35.55,13.5,15.95,22.6,1.15,9.55,37.2,43.3,-82.6880123,33.4191691,0.37200000000000005,0.153,0.213,0.158
13303,25.2,74.8,10.7,3.6,66.85,22034.58191,44.9,52.35,0.05,0.3,0.75,1.65,41.6,18.45,20897.0,16.1,26.3,0.449,35.3,24.45,22.35,24.0,1.15,10.2,17.85,37.9,-82.7981123,32.9718477,0.34700000000000003,0.14800000000000002,0.209,0.113
13305,22.1,77.9,10.9,3.8,72.45,22046.20667,73.1,19.6,0.2,0.5,1.45,5.2,25.6,16.55,29526.0,37.7,17.8,0.445,21.25,27.05,15.95,20.65,1.45,17.75,17.15,37.6,-81.91237629999999,31.547844899999998,0.33399999999999996,0.11599999999999999,0.242,0.115
13307,21.9,78.1,7.9,3.8,77.9,23396.7708,52.6,38.1,0.0,0.75,1.6,7.0,33.4,18.1,2501.0,37.5,21.5,0.47100000000000003,24.35,24.15,16.45,21.85,5.25,10.0,22.25,40.4,-84.5532179,32.0465538,0.311,0.13699999999999998,0.249,0.083
13309,30.3,69.7,8.6,2.8,65.5,24491.153019999998,59.55,36.95,0.1,0.1,0.4,2.95,33.7,42.8,7120.0,83.3,24.65,0.395,30.65,25.4,13.6,17.5,4.4,21.5,17.65,36.2,-82.73870129999999,32.109276,0.316,0.10300000000000001,0.231,0.102
13311,16.7,83.3,19.6,9.1,75.9,28031.276830000003,93.4,2.15,0.35,0.35,1.8,2.0,36.85,12.9,25923.0,35.9,19.85,0.462,26.55,31.25,14.6,25.75,1.0,13.6,13.85,42.9,-83.7437125,34.6436773,0.28600000000000003,0.11199999999999999,0.23199999999999998,0.08900000000000001
13313,32.6,67.4,15.1,5.6,73.0,25129.21111,63.2,3.4,0.25,1.2,1.2,30.75,31.05,14.5,97445.0,32.8,18.8,0.44799999999999995,25.65,22.7,13.3,22.9,0.2,9.15,31.8,33.8,-84.968541,34.8017261,0.284,0.11,0.281,0.113
13315,27.0,73.0,8.8,1.9,69.5,21636.00159,60.4,35.4,0.2,0.4,0.95,2.65,41.55,24.25,8988.0,43.0,25.9,0.452,41.9,27.2,23.95,14.15,4.4,14.55,15.7,39.5,-83.43826170000001,31.9627168,0.31,0.11599999999999999,0.23199999999999998,0.12300000000000001
13317,28.2,71.8,15.5,7.1,77.35,22097.22191,53.1,41.65,0.55,0.25,1.2,3.25,59.25,18.2,10442.0,32.7,24.4,0.48700000000000004,34.5,28.65,15.55,17.75,7.0,10.5,20.5,43.0,-82.7479223,33.77904,0.327,0.16399999999999998,0.212,0.109
13319,20.8,79.2,12.1,3.4,73.65,26887.87175,57.4,38.95,0.2,0.15,1.15,2.15,46.8,22.4,9803.0,31.8,25.15,0.43700000000000006,38.5,27.2,14.55,20.75,0.25,18.0,19.3,40.2,-83.1755868,32.8043209,0.321,0.138,0.204,0.096
13321,26.4,73.6,9.4,3.6,74.25,22961.57143,68.7,28.3,0.15,0.25,1.1,1.45,40.6,16.1,21515.0,45.3,21.1,0.426,30.0,24.6,18.1,22.45,2.85,14.8,17.25,39.2,-83.8499598,31.5517733,0.316,0.122,0.231,0.08800000000000001
15001,9.5,90.5,26.6,8.1,76.8,27904.35651,32.2,0.5,0.25,22.5,33.0,11.5,22.15,9.0,178724.0,51.9,13.95,0.45799999999999996,18.65,29.2,23.35,25.6,2.1,12.15,7.55,40.7,-155.5024434,19.5977643,0.24100000000000002,0.08199999999999999,0.106,0.083
15003,10.1,89.9,31.1,10.6,73.3,32640.276510000003,20.15,2.5,0.2,42.7,26.45,8.0,11.6,7.45,927885.0,56.1,8.85,0.42200000000000004,11.15,35.15,20.35,26.7,0.45,9.25,8.1,37.5,-158.2019756,21.4613641,0.218,0.08900000000000001,0.073,0.052000000000000005
15007,11.7,88.3,22.7,6.8,73.45,30807.78508,31.15,0.5,0.15,30.9,27.65,9.7,11.45,9.55,65062.0,55.0,9.15,0.42200000000000004,10.35,29.4,24.55,25.55,1.35,11.2,8.05,40.4,-159.7059653,22.0120383,0.217,0.086,0.10099999999999999,0.07400000000000001
15009,11.3,88.7,25.7,8.2,71.6,30998.84032,33.1,0.5,0.15,27.25,29.0,9.9,11.2,5.6,148515.0,54.0,8.4,0.431,10.3,28.5,27.05,24.95,1.2,10.05,8.25,38.9,-156.6015503,20.8559306,0.233,0.086,0.09699999999999999,0.063
16001,7.1,92.9,35.0,11.1,75.65,29702.98635,87.0,1.05,0.5,2.35,2.3,6.85,14.45,6.65,380578.0,41.3,9.8,0.435,11.45,40.6,15.1,26.85,0.45,8.25,8.8,34.4,-116.244456,43.447860600000006,0.235,0.073,0.14,0.063
16003,11.6,88.4,21.3,7.5,80.6,19138.111109999998,94.2,0.1,0.9,0.25,2.9,1.7,21.5,10.8,3748.0,5.4,12.0,0.48,14.05,25.15,22.45,17.7,7.3,14.45,12.95,46.1,-116.431873,44.8845828,0.273,0.11199999999999999,0.23,0.139
16005,9.5,90.5,27.3,8.9,70.2,21440.22635,87.05,0.6,2.75,1.25,2.1,6.25,23.3,4.75,81633.0,37.3,14.5,0.429,17.25,31.35,17.8,28.6,0.75,8.4,13.1,30.9,-112.22898629999999,42.692938500000004,0.292,0.1,0.174,0.07
16007,9.6,90.4,16.7,3.7,67.2,21328.4873,95.05,0.15,0.6,0.2,0.6,3.4,19.2,11.25,5922.0,42.0,13.5,0.381,13.95,26.25,19.5,16.75,5.85,16.9,14.7,41.2,-111.32744479999998,42.285832899999996,0.266,0.098,0.177,0.047
16009,12.8,87.2,12.1,4.2,71.2,21071.84889,85.75,0.7,8.0,0.25,2.75,2.55,20.15,6.15,9265.0,28.6,15.0,0.374,21.0,25.4,19.8,18.3,8.25,11.25,17.0,43.8,-116.63354140000001,47.2184513,0.266,0.115,0.215,0.12
