FIPS,African American Population,Uninsured,Production.transportation.and.material.moving.occupations,lat,Adults 65 and Older Living in Poverty,Other Race or Races,White (Not Latino) Population,Sales.and.office.occupations,Poverty.Rate.below.federal.poverty.threshold,Construction.extraction.maintenance.and.repair.occupations,Child.Poverty.living.in.families.below.the.poverty.line,Adult.obesity,Total Population,Children Under 6 Living in Poverty,Farming.fishing.and.forestry.occupations,Diabetes,School Enrollment,lon,Management.professional.and.related.occupations,Service.occupations,Median Earnings 2010,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,At Least Bachelors's Degree,Native American Population,Graduate Degree,Gini.Coefficient,Asian American Population,Latino Population,Median Age,At Least High School Diploma,Less Than High School Diploma,Unemployment
38063,0.0017421602787456446,0.2960893854748603,0.2796725784447476,0.9684051970134351,0.29660023446658856,0.027272727272727275,0.9777662874870734,0.37481031866464337,0.14639175257731957,0.25655430711610494,0.21228615863141526,0.5086206896551724,0.0002824046593503999,0.26051475204017577,0.18181818181818182,0.4409937888198757,0.7732718894009217,0.6677937088610202,0.5273224043715847,0.3309557774607704,0.4134989065632328,0.8200000000000001,0.26656626506024095,0.005820721769499417,0.10597826086956523,0.41587301587301584,0.007025761124121779,0.01183736489963973,0.712082262210797,0.8126672613737734,0.20428015564202334,0.12
38065,0.0011614401858304297,0.2541899441340782,0.30559345156889495,0.941029893743347,0.4337631887456037,0.03333333333333334,0.9700103412616339,0.44461305007587254,0.1577319587628866,0.30711610486891383,0.23250388802488337,0.5201149425287357,0.00013497881658980457,0.2027620841180163,0.05454545454545454,0.40372670807453415,0.8101382488479264,0.6338403205370495,0.5619307832422586,0.24251069900142652,0.556222855827825,0.609,0.23644578313253015,0.01629802095459837,0.11956521739130437,0.22857142857142854,0.007025761124121779,0.008749356664951106,0.5989717223650384,0.7680642283675289,0.2529182879377432,0.1709090909090909
38067,0.0023228803716608595,0.24581005586592175,0.43110504774897684,0.9974095575976341,0.2672919109026964,0.04848484848484849,0.9312306101344363,0.5144157814871018,0.12989690721649483,0.27340823970037453,0.14696734059097977,0.5689655172413793,0.0007241720636087929,0.10106716886377903,0.25636363636363635,0.422360248447205,0.5990783410138248,0.6749494911653704,0.331511839708561,0.2767475035663338,0.5127047149489858,0.227,0.1957831325301205,0.025029103608847494,0.0625,0.36190476190476184,0.00117096018735363,0.035512094698919194,0.6092544987146531,0.7609277430865299,0.2607003891050584,0.20727272727272728
38069,0.0029036004645760743,0.3016759776536313,0.3192360163710778,0.9793546693191739,0.4243845252051583,0.025757575757575757,0.9348500517063082,0.6479514415781487,0.2175257731958763,0.3146067415730337,0.1640746500777605,0.5574712643678161,0.0003894286794582646,0.08788449466415568,0.08363636363636362,0.4409937888198757,0.7281105990783411,0.6486608745584994,0.3205828779599271,0.3894436519258203,0.3282569570006294,0.318,0.11144578313253015,0.04656577415599534,0.10054347826086958,0.3492063492063492,0.016393442622950817,0.013381369016984045,0.6298200514138816,0.6895628902765388,0.33852140077821014,0.14181818181818182
38071,0.003484320557491289,0.2709497206703911,0.27830832196452937,0.9802665756759519,0.3118405627198124,0.06060606060606061,0.8821096173733195,0.5553869499241273,0.1783505154639175,0.27715355805243447,0.22395023328149302,0.49425287356321834,0.0011161513631840227,0.23666038920276208,0.05818181818181818,0.2795031055900621,0.6497695852534563,0.6620073819415491,0.39708561020036437,0.4465049928673325,0.44020362577035627,0.434,0.25903614457831325,0.0908032596041909,0.12771739130434784,0.4031746031746032,0.023419203747072598,0.01183736489963973,0.511568123393316,0.7698483496877789,0.2509727626459144,0.12727272727272726
38073,0.0029036004645760743,0.2150837988826816,0.6234652114597545,0.9181608548294431,0.31887456037514655,0.025757575757575757,0.9767321613236815,0.26707132018209406,0.15360824742268042,0.31086142322097376,0.1850699844479005,0.5316091954022989,0.0005255297688995339,0.13433772755806653,0.10909090909090909,0.422360248447205,0.7161290322580643,0.6738403341749022,0.36976320582877964,0.3338088445078459,0.49146146666913065,0.568,0.21084337349397594,0.005820721769499417,0.11141304347826086,0.16190476190476188,0.007025761124121779,0.01183736489963973,0.5269922879177378,0.7859054415700267,0.23346303501945523,0.07999999999999999
38075,0.0005807200929152149,0.2150837988826816,0.29058663028649384,0.9955591693000385,0.22860492379835873,0.022727272727272728,0.9803516028955532,0.44764795144157804,0.0979381443298969,0.5093632958801498,0.07853810264385692,0.4137931034482759,0.00020078481560750975,0.03954802259887005,0.07090909090909091,0.34782608695652173,0.4903225806451613,0.6302926069339374,0.3979963570127505,0.34807417974322397,0.4513591048033548,0.18,0.25,0.013387660069848659,0.10869565217391305,0.23492063492063486,0.00234192037470726,0.007205352547606793,0.5989717223650384,0.8001784121320249,0.2178988326848249,0.06545454545454546
38077,0.006387921022067364,0.22067039106145253,0.47476125511596184,0.9118672012184228,0.2801875732708089,0.034848484848484844,0.9467425025853153,0.4294385432473445,0.19278350515463916,0.34082397003745324,0.14696734059097977,0.5775862068965518,0.0016354576189981612,0.1556811048336472,0.10363636363636364,0.2857142857142857,0.6709677419354839,0.6815452235462334,0.31329690346083794,0.405135520684736,0.45859120832580913,0.17,0.2816265060240964,0.024447031431897553,0.16032608695652176,0.33015873015873,0.01288056206088993,0.01698404529078744,0.43187660668380445,0.782337198929527,0.23735408560311283,0.11636363636363636
38079,0.003484320557491289,0.45530726256983245,0.2728512960436562,0.9974565948768457,0.5439624853458382,0.06363636363636364,0.20320579110651496,0.5113808801213959,0.5783505154639176,0.21722846441947566,0.6236391912908243,0.7816091954022989,0.001366316184255981,0.551789077212806,0.023636363636363636,0.6956521739130433,0.3004608294930876,0.650029367910151,0.4690346083788707,0.45506419400855913,0.43809989523590337,0.287,0.19277108433734944,0.8678696158323631,0.1766304347826087,0.5142857142857141,0.00234192037470726,0.008749356664951106,0.20822622107969158,0.6931311329170383,0.3346303501945525,0.3781818181818182
38081,0.0029036004645760743,0.17877094972067037,0.7448840381991815,0.9064983006534804,0.20984759671746775,0.022727272727272728,0.9751809720785936,0.27769347496206376,0.11752577319587627,0.11610486891385771,0.1749611197511664,0.514367816091954,0.00036024958532018136,0.1544256120527307,0.12545454545454546,0.4161490683229814,0.7963133640552996,0.6740306158778953,0.4180327868852459,0.25677603423680456,0.530813363463287,0.36600000000000005,0.1701807228915663,0.004656577415599534,0.04076086956521739,0.31746031746031733,0.01873536299765808,0.009778692743180648,0.5809768637532133,0.8055307760927745,0.21206225680933852,0.06545454545454546
