County;Less Than High School Diploma;At Least High School Diploma;At Least Bachelors's Degree;Graduate Degree;School Enrollment;Median Earnings 2010;White (Not Latino) Population;African American Population;Native American Population;Asian American Population;Other Race or Races;Latino Population;Children Under 6 Living in Poverty;Adults 65 and Older Living in Poverty;Total Population;Preschool.Enrollment.Ratio.enrolled.ages.3.and.4;Poverty.Rate.below.federal.poverty.threshold;Gini.Coefficient;Child.Poverty.living.in.families.below.the.poverty.line;Management.professional.and.related.occupations;Service.occupations;Sales.and.office.occupations;Farming.fishing.and.forestry.occupations;Construction.extraction.maintenance.and.repair.occupations;Production.transportation.and.material.moving.occupations;Median Age;lon;lat;Adult.obesity;Diabetes;Uninsured;Unemployment
Warren County, Mississippi;17.1;82.9;24.4;9.1;76.2;25826.68984;49.9;46.55;0.2;0.85;0.8;1.65;31.25;17.45;48684;64.6;20.4;0.464;29.45;31.0;20.5;21.95;1.0;9.4;16.15;37.5;-90.8517913;32.3570054;0.398;0.12;0.184;0.10200000000000001
Butler County, Kentucky;27.4;72.6;7.8;3.3;71.55;24113.536825;95.55;0.25;1.0;0.15;0.45;2.65;30.55;20.4;13013;17.3;18.35;0.437;22.1;18.55;11.25;20.3;1.7000000000000002;17.95;30.3;39.8;-86.6824707;37.2070133;0.34800000000000003;0.133;0.201;0.085
Park County, Montana;10.6;89.4;31.4;7.6;82.45;23856.09492;94.75;0.05;0.7000000000000001;0.25;1.85;2.4;16.45;10.55;15785;58.6;13.3;0.456;19.25;28.5;19.35;22.15;4.2;14.0;11.75;44.6;-110.5327983;45.4219048;0.227;0.063;0.222;0.064
Burleigh County, North Dakota;8.0;92.0;32.3;9.0;75.4;28868.348255;92.3;0.5;3.75;0.55;1.6;1.3;17.7;10.55;79178;39.5;9.1;0.436;11.75;37.3;17.0;26.85;0.8;9.55;8.5;37.5;-100.4620005;46.9718426;0.267;0.074;0.096;0.027
Richland Parish, Louisiana;26.2;73.8;12.2;3.1;72.6;23528.715875;61.1;36.85;0.2;0.30000000000000004;0.6000000000000001;1.0;39.3;19.25;20570;47.2;21.0;0.453;30.6;27.0;16.95;24.6;3.0;13.65;14.85;38.2;-91.7583745;32.4181207;0.388;0.11800000000000001;0.229;0.08700000000000001
Donley County, Texas;17.8;82.2;16.6;5.1;88.8;22721.035875;84.3;4.7;0.2;0.75;1.45;8.5;8.25;11.3;3690;0.0;12.65;0.40900000000000003;15.1;33.8;20.3;18.3;3.35;14.6;9.7;40.9;-100.8158457;34.9550364;0.313;0.11800000000000001;0.28600000000000003;0.055
McLennan County, Texas;19.7;80.3;20.6;7.0;76.95;22122.097145;59.95;14.5;0.30000000000000004;1.35;1.3;22.55;33.35;10.55;231637;40.3;20.6;0.464;25.65;30.65;17.9;26.6;0.4;10.05;14.35;32.7;-97.2014721;31.549493;0.304;0.097;0.245;0.065
Lake County, Indiana;13.9;86.1;18.9;6.3;77.75;29506.74254;56.4;25.2;0.2;1.2;1.4;15.6;30.55;8.7;493604;41.8;16.3;0.43;25.6;28.4;17.55;25.35;0.2;10.75;17.75;36.9;-87.3743368;41.4722388;0.359;0.124;0.181;0.095
Vanderburgh County, Indiana;12.9;87.1;21.8;7.4;77.1;26186.066665;86.35;8.65;0.15;1.05;2.05;1.75;25.7;7.9;177123;39.3;15.25;0.455;21.6;29.4;18.0;26.95;0.35000000000000003;9.05;16.25;37.4;-87.5861659;38.0200703;0.324;0.107;0.153;0.076
Trigg County, Kentucky;17.4;82.6;15.8;7.5;82.2;25355.046665;88.1;8.3;0.30000000000000004;0.5;1.7000000000000002;1.15;36.25;6.3;13785;26.9;14.2;0.465;23.55;24.9;14.8;21.9;1.6;11.85;24.95;43.7;-87.8586515;36.8076808;0.334;0.117;0.193;0.08700000000000001
