County;Less Than High School Diploma;At Least High School Diploma;At Least Bachelors's Degree;Graduate Degree;School Enrollment;Median Earnings 2010;White (Not Latino) Population;African American Population;Native American Population;Asian American Population;Other Race or Races;Latino Population;Children Under 6 Living in Poverty;Adults 65 and Older Living in Poverty;Total Population;Preschool.Enrollment.Ratio.enrolled.ages.3.and.4;Poverty.Rate.below.federal.poverty.threshold;Gini.Coefficient;Child.Poverty.living.in.families.below.the.poverty.line;Management.professional.and.related.occupations;Service.occupations;Sales.and.office.occupations;Farming.fishing.and.forestry.occupations;Construction.extraction.maintenance.and.repair.occupations;Production.transportation.and.material.moving.occupations;Median Age;lon;lat;Adult.obesity;Diabetes;Uninsured;Unemployment
Haines Borough, Alaska;6.0;94.0;33.1;11.7;85.9;21968.40254;82.95;0.4;7.7;0.25;6.2;2.55;12.6;0.0;2466;100.0;5.9;0.41000000000000003;8.05;40.8;19.1;16.45;2.2;12.3;9.1;49.6;-135.5781024;59.0999054;0.296;0.083;0.28200000000000003;0.081
Red Willow County, Nebraska;8.3;91.7;21.6;6.2;72.9;20965.324125;94.15;0.45;0.25;0.4;0.9;3.9;15.45;4.05;10905;50.8;9.75;0.4;10.8;26.85;18.45;26.65;2.0;9.5;16.6;42.9;-100.4685764;40.1694196;0.302;0.097;0.129;0.033
Del Norte County, California;18.7;81.3;14.3;4.3;73.2;23797.859685;66.05;3.4;5.6;3.1;4.95;16.95;38.75;8.8;28669;58.1;20.7;0.448;31.3;28.0;29.9;24.45;3.5;7.05;7.05;37.9;-123.9809983;41.7499033;0.255;0.088;0.17300000000000001;0.134
Duval County, Florida;12.8;87.2;24.9;8.0;73.85;30197.95873;58.0;28.85;0.30000000000000004;3.8;2.25;6.85;20.95;9.95;855324;53.9;13.75;0.45;19.55;32.95;16.65;30.0;0.1;9.8;10.45;35.4;-81.6481132;30.3352449;0.28400000000000003;0.108;0.193;0.088
Ellsworth County, Kansas;9.4;90.6;19.8;6.1;72.15;24146.331745;88.9;3.9;0.35000000000000003;0.45;1.6;4.8;6.1;14.6;6372;47.4;8.35;0.403;5.0;33.2;21.85;16.9;1.8;12.3;13.95;42.9;-98.2053552;38.7008451;0.34;0.10200000000000001;0.138;0.033
Cumberland County, Kentucky;29.5;70.5;7.9;3.7;71.2;18503.494605;94.7;2.95;0.05;0.05;1.25;1.0;28.1;23.9;6844;0.0;25.75;0.419;38.25;25.05;17.6;22.1;1.3;14.75;19.15;42.9;-85.3934992;36.7842273;0.342;0.133;0.202;0.108
Presque Isle County, Michigan;14.7;85.3;14.3;4.7;76.55;21330.295555;97.05;0.30000000000000004;0.7000000000000001;0.2;1.0;0.75;18.9;7.15;13559;42.5;12.0;0.402;16.6;25.95;17.6;23.7;3.65;13.85;15.1;50.5;-83.3840186;45.4895147;0.333;0.135;0.162;0.14
Webster County, Missouri;17.8;82.2;14.7;5.5;68.8;23517.57397;95.0;1.05;0.6000000000000001;0.15;1.5;1.7000000000000002;34.05;12.3;35918;25.2;17.85;0.405;26.15;23.45;13.0;27.35;0.85;15.75;19.6;37.1;-92.8760795;37.2808043;0.322;0.111;0.219;0.069
Hamilton County, Illinois;19.2;80.8;12.7;5.6;71.2;21976.02984;97.2;0.2;0.15;0.1;0.85;1.5;32.75;8.4;8321;42.4;12.95;0.458;19.2;26.8;18.1;19.45;0.2;12.2;23.25;42.3;-88.5390048;38.085226;0.291;0.098;0.136;0.078
Monroe County, Illinois;9.0;91.0;24.7;8.4;82.95;36472.25397;97.0;0.30000000000000004;0.2;0.35000000000000003;0.9;1.35;6.3;2.25;32657;62.1;4.25;0.386;4.1;33.9;16.25;25.75;0.30000000000000004;12.85;11.0;40.1;-90.1790777;38.2779831;0.293;0.094;0.082;0.07
Lane County, Kansas;12.2;87.8;22.2;6.0;81.5;27413.35492;93.35;0.25;1.25;0.1;1.7000000000000002;3.35;16.95;14.45;1705;26.9;15.55;0.46900000000000003;21.55;41.4;13.25;17.45;11.0;11.45;5.45;44.8;-100.4661853;38.4812863;0.364;0.105;0.168;0.038
Floyd County, Virginia;20.5;79.5;19.3;5.3;74.05;24633.11111;94.4;1.8;0.25;0.1;0.85;2.5;11.65;15.3;15017;28.0;14.8;0.40700000000000003;20.25;29.75;18.15;22.0;1.65;14.3;14.15;43.6;-80.3503087;36.9314381;0.278;0.113;0.184;0.062
Douglas County, Oregon;13.6;86.4;15.5;5.5;74.0;22380.886665;90.1;0.30000000000000004;1.5;0.9;2.8;4.4;22.45;8.2;105526;38.8;14.65;0.41400000000000003;21.8;25.85;19.7;24.25;2.75;10.2;17.25;45.3;-123.1543801;43.2859035;0.328;0.122;0.187;0.122
Chisago County, Minnesota;9.0;91.0;17.0;4.9;76.55;33665.382855;94.45;1.4;0.55;0.85;1.05;1.7000000000000002;9.85;7.9;51829;42.6;7.25;0.34900000000000003;9.45;31.1;16.65;22.6;0.55;13.55;15.5;37.6;-92.9038486;45.5054439;0.28500000000000003;0.079;0.08600000000000001;0.067
Ford County, Kansas;30.5;69.5;17.2;5.7;72.1;25178.659685;46.2;1.6;0.45;1.6;1.3;48.9;32.5;7.8;33344;32.8;16.95;0.40800000000000003;25.55;24.8;13.5;19.15;2.95;10.35;29.25;30.8;-99.884734;37.6883653;0.343;0.096;0.222;0.036000000000000004
Cumberland County, North Carolina;11.7;88.3;21.8;7.4;67.9;26383.507935;49.35;35.25;1.25;2.1;4.35;7.8;24.65;10.15;314373;39.4;16.75;0.433;23.2;32.1;19.5;26.2;0.45;8.75;13.05;30.9;-78.8287186;35.0501921;0.338;0.12;0.164;0.10300000000000001
Stanly County, North Carolina;19.5;80.5;15.3;4.0;78.05;27017.39746;82.0;11.1;0.2;1.9500000000000002;1.3;3.45;25.0;11.65;59860;49.1;12.95;0.418;18.0;28.15;18.8;21.4;0.45;14.3;16.9;39.9;-80.2543552;35.3105227;0.266;0.11900000000000001;0.183;0.096
Harlan County, Nebraska;9.4;90.6;16.9;4.5;76.45;22591.98127;97.8;0.0;0.5;0.1;0.35000000000000003;1.2;29.55;7.95;3386;32.0;11.15;0.433;18.65;40.65;15.6;18.3;4.6;12.25;8.6;48.0;-99.4034177;40.1787663;0.293;0.094;0.149;0.032
Guadalupe County, New Mexico;20.0;80.0;7.4;3.7;78.3;18904.44095;17.05;0.85;1.75;0.6000000000000001;1.1;78.6;52.3;29.5;4526;63.6;29.6;0.431;49.2;23.8;20.6;29.25;0.35000000000000003;16.95;9.05;40.9;-104.7849677;34.8697822;0.259;0.078;0.20700000000000002;0.098
Pottawatomie County, Oklahoma;16.6;83.4;16.6;5.4;74.75;23296.609205;75.45;3.1;11.1;0.55;5.9;3.8;25.8;10.3;69198;36.4;17.35;0.432;25.9;29.05;19.2;22.65;0.6000000000000001;12.95;15.5;37.2;-96.957007;35.2113928;0.372;0.12;0.222;0.048
Crow Wing County, Minnesota;8.7;91.3;22.0;6.3;74.25;25089.724445;96.2;0.5;0.8;0.4;1.2;0.9500000000000001;15.45;9.0;61967;41.6;11.05;0.42;13.0;31.05;19.95;24.7;0.35000000000000003;11.1;12.85;42.4;-94.0712125;46.4911138;0.268;0.085;0.106;0.074
Lincoln County, Nebraska;8.0;92.0;19.0;5.7;75.9;27319.79238;90.7;0.65;0.30000000000000004;0.55;1.1;6.65;15.3;7.5;35884;37.8;9.8;0.433;11.7;27.95;15.75;24.35;1.8;11.45;18.7;39.1;-100.7444808;41.0503221;0.324;0.09;0.116;0.034
Park County, Colorado;6.5;93.5;32.6;10.5;80.3;33051.15873;91.4;0.45;0.65;1.1;1.2;5.2;4.25;10.55;16497;49.0;6.25;0.353;6.05;34.65;14.2;26.95;0.65;16.25;7.3;44.9;-105.7176479;39.1189141;0.184;0.052000000000000005;0.177;0.075
Lincoln County, Georgia;22.6;77.4;9.7;3.3;72.75;24526.368255;65.05;31.75;0.35000000000000003;0.5;1.5;0.8;38.7;28.7;8017;54.1;24.6;0.443;37.35;18.65;24.8;21.0;0.7000000000000001;13.3;21.65;43.8;-82.4482992;33.7921507;0.354;0.137;0.23800000000000002;0.10300000000000001
Treutlen County, Georgia;27.0;73.0;9.9;2.4;72.45;22879.16889;64.95;33.2;0.05;0.35000000000000003;0.4;1.05;27.0;16.4;6896;50.7;27.05;0.468;37.15;32.3;16.8;22.25;0.55;11.2;16.9;36.9;-82.5708819;32.4095857;0.34800000000000003;0.123;0.215;0.14
Ottawa County, Ohio;10.3;89.7;18.9;7.4;80.2;29683.98508;93.7;0.9;0.05;0.30000000000000004;0.8;4.2;14.4;6.6;41280;60.2;8.95;0.40900000000000003;11.2;30.35;17.8;22.95;0.7000000000000001;10.5;17.65;45.3;-83.0092527;41.5444667;0.35000000000000003;0.116;0.122;0.098
Mahnomen County, Minnesota;16.4;83.6;13.5;3.7;73.05;22155.96;53.45;0.2;36.25;0.25;7.45;2.4;38.4;11.05;5232;61.3;22.05;0.41300000000000003;33.75;27.55;26.3;22.65;1.15;14.2;8.15;36.3;-95.8107032;47.3258424;0.306;0.111;0.148;0.07
Delaware County, Pennsylvania;9.5;90.5;34.7;14.5;81.45;34273.76127;72.8;18.55;0.1;4.5;1.5;2.65;12.9;6.9;556998;58.6;9.4;0.461;13.85;41.45;15.3;26.6;0.1;7.75;8.8;38.5;-75.3987862;39.9166704;0.28;0.093;0.10200000000000001;0.081
Wayne County, Pennsylvania;13.3;86.7;17.9;7.3;76.05;25840.209525;92.65;2.55;0.15;0.65;1.0;3.1;16.7;8.15;52027;43.6;11.25;0.419;14.75;29.05;18.6;24.0;0.45;13.75;14.15;44.8;-75.2924847;41.6465894;0.29;0.11;0.135;0.076
Charleston County, South Carolina;12.6;87.4;37.5;13.4;74.75;28294.258415;62.2;30.2;0.25;1.4;1.35;4.55;27.85;10.95;347961;56.5;16.05;0.498;23.8;37.65;17.6;25.75;0.25;9.15;9.55;35.7;-79.94248;32.8004582;0.277;0.108;0.19;0.073
Perry County, Arkansas;18.4;81.6;10.5;3.9;77.3;25756.634285;93.7;2.2;0.35000000000000003;0.2;1.6;2.0;29.2;14.5;10369;19.5;14.7;0.39;15.75;23.45;16.35;17.6;3.0;16.8;22.8;41.2;-92.9268772;34.9463629;0.338;0.125;0.19;0.08
Oglethorpe County, Georgia;24.3;75.7;11.7;6.1;79.45;24923.38476;77.0;18.1;0.1;0.4;1.1;3.25;19.65;18.2;14413;71.3;18.05;0.427;19.35;25.35;15.45;26.8;2.15;14.3;15.95;40.5;-83.0740805;33.8668062;0.289;0.117;0.246;0.067
Charlottesville city, Virginia;14.8;85.2;46.7;25.0;82.35;20527.829525;67.8;19.55;0.1;5.35;2.85;4.3;18.85;8.25;42434;43.8;27.35;0.505;20.35;44.85;20.5;22.5;0.05;4.85;7.25;27.7;-78.4853806;38.0376579;0.28200000000000003;0.07200000000000001;0.18;0.059000000000000004
San Joaquin County, California;23.3;76.7;17.5;5.3;76.8;29595.494605;37.65;7.05;0.5;13.55;3.65;37.65;22.65;9.8;674973;43.6;15.65;0.437;20.9;28.0;16.65;25.85;3.9;10.4;15.2;32.3;-121.2722369;37.9350336;0.31;0.095;0.193;0.152
Washington County, Utah;9.3;90.7;24.0;8.0;72.25;24076.215875;86.75;0.55;1.1;0.8;2.1;8.75;14.3;5.25;134186;33.2;10.55;0.40800000000000003;13.9;30.8;17.25;26.85;0.35000000000000003;13.6;11.15;31.8;-113.4878003;37.2625308;0.23800000000000002;0.076;0.212;0.07
Spencer County, Kentucky;16.3;83.7;16.6;6.1;75.95;32023.28095;95.25;2.2;0.2;0.35000000000000003;0.75;1.25;10.45;9.25;16884;41.2;8.85;0.366;11.65;27.95;18.35;20.05;1.0;13.9;18.7;38.3;-85.321525;38.0269758;0.339;0.109;0.146;0.076
Phelps County, Missouri;14.1;85.9;25.3;10.5;81.7;18981.966985;91.05;2.15;0.9;2.6;1.45;1.9;25.2;9.1;43702;27.9;18.9;0.465;21.7;36.15;17.35;25.0;0.65;9.05;11.8;34.1;-91.7903492;37.8663263;0.327;0.096;0.18;0.064
Haskell County, Oklahoma;24.1;75.9;13.4;3.2;70.25;21621.47365;74.3;0.7000000000000001;14.35;0.55;7.1;2.95;24.45;13.65;12461;26.8;15.05;0.443;16.95;29.55;14.3;18.85;2.15;24.1;11.05;39.9;-95.1095776;35.2322937;0.313;0.122;0.259;0.068
Bradford County, Pennsylvania;14.6;85.4;15.7;5.1;73.45;25025.913335;96.85;0.45;0.2;0.55;0.9;0.9500000000000001;26.85;10.05;61998;33.4;14.25;0.421;20.85;27.15;15.1;21.1;1.7000000000000002;10.6;24.3;42.6;-76.5021237;41.791494900000004;0.34800000000000003;0.097;0.134;0.065
York County, Nebraska;9.4;90.6;21.5;6.7;76.5;24305.32762;93.05;1.1;0.45;0.5;1.1;3.8;5.15;8.05;13874;33.6;7.6;0.424;5.2;32.7;17.85;25.55;2.2;7.6;14.05;40.6;-97.5967418;40.8730557;0.326;0.09;0.117;0.037
Fayette County, Iowa;11.8;88.2;16.5;5.0;82.1;22316.324445;95.9;0.85;0.1;0.5;0.8;1.8;25.35;9.7;20682;52.2;13.2;0.41200000000000003;17.75;27.8;15.55;22.45;2.7;10.25;21.15;42.4;-91.8393728;42.8644496;0.34900000000000003;0.091;0.121;0.057
Orange County, Texas;14.2;85.8;12.5;3.5;75.1;29045.159365;83.35;8.65;0.45;1.05;1.25;5.35;22.7;11.05;82179;44.4;14.4;0.432;19.45;27.5;14.65;23.1;0.15;16.5;18.1;38.2;-93.8933577;30.120918;0.329;0.116;0.217;0.098
Jackson County, Colorado;8.6;91.4;21.7;4.3;77.4;22066.769205;90.5;0.0;0.85;0.05;0.9;7.7;57.5;5.85;1349;60.9;14.25;0.445;26.05;35.05;16.05;16.55;4.35;13.8;14.2;46.5;-106.3292476;40.6634319;0.218;0.066;0.251;0.038
Morgan County, Utah;3.1;96.9;27.1;9.0;79.85;30428.942855;96.15;0.1;0.05;0.75;1.1;1.85;0.85;1.45;8925;46.7;2.1;0.341;2.6;35.5;11.0;27.5;0.75;13.5;11.65;31.6;-111.5778846;41.0910273;0.229;0.074;0.12;0.053
Anne Arundel County, Maryland;10.0;90.0;35.7;14.8;75.25;42620.578415;73.95;14.9;0.2;3.2;2.5;5.2;6.85;5.35;525683;55.3;5.25;0.406;6.8;43.35;13.8;26.25;0.2;9.4;7.15;38.1;-76.5605111;38.9933743;0.28;0.092;0.09;0.061
Johnson County, Tennessee;30.9;69.1;10.1;4.0;64.85;20881.47746;95.1;2.1;0.15;0.25;1.1;1.25;47.65;14.7;18131;30.1;24.25;0.431;38.05;24.3;15.55;20.7;1.1;15.65;22.75;42.7;-81.8612367;36.4532035;0.312;0.131;0.176;0.098
Dodge County, Nebraska;15.2;84.8;17.3;5.3;77.3;24427.09619;89.2;0.5;0.30000000000000004;0.55;1.0;8.45;23.95;7.9;36232;39.6;12.6;0.40900000000000003;17.6;25.6;16.15;27.2;1.45;9.85;19.85;40.1;-96.6458526;41.5770082;0.298;0.089;0.145;0.042
Sutter County, California;21.6;78.4;18.7;5.6;75.25;25473.404445;52.2;1.8;0.85;13.25;4.0;27.9;22.85;8.35;92734;41.1;13.55;0.424;18.7;28.8;17.1;24.5;5.3;11.55;12.75;34.2;-121.7027576;39.0352571;0.259;0.084;0.215;0.176
Oklahoma County, Oklahoma;14.6;85.4;28.2;9.6;73.6;25860.78984;61.35;14.65;2.75;2.95;4.45;13.8;29.4;7.65;709438;40.8;16.85;0.49;25.25;34.35;17.3;27.1;0.30000000000000004;10.2;10.65;34.4;-97.4094007;35.5546109;0.30000000000000004;0.105;0.231;0.051000000000000004
Hancock County, Tennessee;31.7;68.3;7.4;2.9;71.75;19634.319365;97.9;0.30000000000000004;0.15;0.4;1.05;0.25;31.35;30.9;6726;43.3;32.4;0.452;38.15;19.3;15.9;25.5;2.6;12.4;24.25;42.8;-83.2274526;36.5214195;0.303;0.135;0.18;0.117
Price County, Wisconsin;10.6;89.4;15.3;4.5;75.1;26492.058095;96.75;0.25;0.7000000000000001;0.4;0.9;1.05;13.25;8.25;14361;39.4;11.35;0.40900000000000003;13.85;26.0;13.95;18.8;2.8;11.2;27.2;47.4;-90.3596497;45.6790724;0.28600000000000003;0.11;0.106;0.069
Carteret County, North Carolina;12.4;87.6;23.8;8.3;75.3;25701.79111;87.7;6.45;0.4;0.8;1.85;2.85;19.75;8.0;64919;42.8;11.95;0.433;17.6;31.4;18.1;24.85;1.15;14.25;10.25;45.1;-76.5269665;34.858313;0.29;0.113;0.19;0.08600000000000001
Hunterdon County, New Jersey;6.0;94.0;47.5;19.5;85.05;50735.14984;88.1;2.6;0.1;3.2;1.2;4.75;3.5;3.4;128933;68.4;3.8;0.439;3.4;49.3;11.55;26.3;0.15;7.35;5.35;42.4;-74.9119695;40.5652832;0.2;0.066;0.073;0.07100000000000001
Pickens County, South Carolina;18.6;81.4;23.5;9.8;83.35;21453.909525;87.5;6.55;0.2;1.5;1.25;3.0;21.75;8.2;117658;55.9;16.55;0.441;17.65;33.6;16.0;23.35;0.5;11.2;15.45;34.5;-82.7253677;34.8873615;0.28500000000000003;0.097;0.20400000000000001;0.082
Rutherford County, Tennessee;12.1;87.9;26.3;7.4;78.1;30137.513015;77.2;11.9;0.25;2.85;1.8;6.05;18.45;8.1;251392;41.6;12.35;0.402;15.4;32.35;14.35;27.3;0.25;10.15;15.6;32.0;-86.4172127;35.8433688;0.313;0.098;0.165;0.065
Graves County, Kentucky;20.7;79.3;14.4;4.7;77.35;21536.191745;88.25;4.15;0.2;0.30000000000000004;1.65;5.4;34.9;13.95;37318;47.0;19.9;0.464;28.9;24.75;15.25;24.95;2.8;12.4;19.85;40.1;-88.6498974;36.7233435;0.314;0.117;0.2;0.085
Wyandotte County, Kansas;21.4;78.6;15.2;5.2;72.5;25420.62381;45.65;25.35;0.5;2.2;2.1;24.2;33.35;12.4;155629;37.2;20.75;0.431;29.55;22.15;20.6;24.75;0.25;13.15;19.15;33.1;-94.7630866;39.1153842;0.393;0.131;0.227;0.08600000000000001
Iowa County, Wisconsin;8.1;91.9;22.3;6.3;74.15;29467.946665;97.05;0.4;0.1;0.55;0.8;1.1;7.6;8.85;23600;35.9;7.0;0.375;7.0;31.25;13.35;26.05;2.1;11.85;15.45;40.5;-90.1336915;43.0010208;0.28200000000000003;0.099;0.094;0.062
Putnam County, New York;6.3;93.7;38.0;16.0;84.4;42615.086985;83.55;2.1;0.05;1.7000000000000002;1.65;10.9;2.9;8.55;99410;70.6;6.8;0.40700000000000003;3.9;41.8;14.85;26.35;0.30000000000000004;10.1;6.6;40.9;-73.7438816;41.4279035;0.31;0.092;0.092;0.067
Madison County, Iowa;7.0;93.0;18.2;4.7;80.25;31752.24476;97.15;0.30000000000000004;0.1;0.15;0.9;1.45;11.9;7.95;15466;38.5;8.0;0.41100000000000003;10.25;33.45;11.95;26.8;0.85;15.85;11.1;39.3;-94.0151842;41.3306216;0.308;0.101;0.091;0.059000000000000004
Tazewell County, Illinois;9.8;90.2;23.1;6.2;78.9;31024.922855;95.3;0.9500000000000001;0.15;0.65;1.25;1.7000000000000002;14.25;4.7;133091;60.0;7.9;0.4;11.5;33.5;16.95;24.1;0.5;9.05;16.0;39.5;-89.5162597;40.5080739;0.268;0.085;0.101;0.076
Polk County, Arkansas;19.6;80.4;10.0;3.7;77.25;20551.20635;90.55;0.2;1.65;0.2;2.3;5.15;35.15;9.6;20401;52.1;19.75;0.417;31.8;24.15;15.45;21.3;2.85;14.3;21.9;43.2;-94.2308841;34.4909149;0.331;0.114;0.246;0.077
Kern County, California;28.9;71.1;14.7;4.8;73.0;24244.885395;40.2;5.5;0.65;3.75;2.25;47.65;32.3;10.2;810292;37.0;20.5;0.452;28.25;25.95;18.55;22.95;8.05;11.8;12.7;30.6;-118.7295064;35.3466288;0.278;0.078;0.219;0.133
Bullock County, Alabama;25.3;74.7;12.0;3.7;69.55;20651.69397;22.05;72.45;0.15;0.25;0.35000000000000003;4.7;54.35;24.25;10915;51.6;28.8;0.533;50.85;19.05;15.45;23.55;5.15;7.75;29.05;38.7;-85.7172613;32.1017589;0.421;0.17500000000000002;0.157;0.134
Shasta County, California;11.9;88.1;20.0;6.4;76.6;26552.58508;82.85;0.9;2.35;2.45;3.3;8.05;27.8;7.15;178305;41.4;15.95;0.453;22.5;31.95;19.25;28.1;1.25;10.5;9.1;41.3;-122.0435495;40.7605215;0.28;0.09;0.181;0.134
Grant County, Nebraska;4.9;95.1;17.3;3.8;68.2;19819.761905;98.35;0.0;0.1;0.1;0.75;0.7000000000000001;33.65;4.3;611;37.5;18.0;0.386;29.45;43.15;7.8;14.6;17.8;7.65;9.0;46.6;-101.7568746;41.9158667;0.28400000000000003;0.08700000000000001;0.165;0.037
Meeker County, Minnesota;11.3;88.7;15.7;3.7;74.5;28115.928255;95.4;0.2;0.1;0.4;0.7000000000000001;3.2;15.95;8.1;23247;29.1;8.85;0.381;11.7;28.1;14.65;21.0;1.85;11.35;23.0;40.8;-94.527346;45.1231555;0.296;0.113;0.111;0.066
Franklin County, Florida;21.7;78.3;18.8;5.5;65.35;21561.211745;80.2;12.65;0.30000000000000004;0.7000000000000001;1.0;5.2;55.4;16.05;11273;45.0;24.7;0.47800000000000004;40.3;22.1;27.45;22.7;7.2;15.35;5.15;43.6;-84.7991735;29.8101756;0.261;0.099;0.233;0.067
St. Lucie County, Florida;16.6;83.4;17.8;6.3;75.55;26767.777145;63.45;17.5;0.2;1.55;1.75;15.55;19.0;7.85;266886;48.6;12.85;0.43;19.8;27.05;20.2;28.2;1.25;13.65;9.65;41.9;-80.4433638;27.3807748;0.28700000000000003;0.131;0.27;0.111
Glynn County, Georgia;13.9;86.1;26.4;9.8;75.35;27829.180315;66.15;25.6;0.15;1.0;1.5;5.6;31.25;9.15;77066;38.7;15.1;0.47200000000000003;24.75;31.8;22.2;25.2;0.6000000000000001;10.05;10.15;39.1;-81.4965167;31.2127465;0.28200000000000003;0.099;0.226;0.097
Butte County, Idaho;11.4;88.6;17.5;5.0;75.65;22245.580635;94.55;0.1;0.2;0.1;0.9500000000000001;4.1;20.15;7.05;2830;23.0;14.9;0.41600000000000004;19.75;31.95;20.35;19.5;3.35;12.5;12.35;46.4;-113.1776271;43.6850995;0.30000000000000004;0.097;0.17200000000000001;0.07200000000000001
Cass County, Indiana;18.0;82.0;14.1;5.4;73.4;26072.916825;84.75;1.45;0.35000000000000003;0.9;0.85;11.7;22.0;8.15;39114;36.4;13.45;0.41400000000000003;17.5;24.75;17.0;16.05;1.4;10.5;30.3;38.4;-86.3551685;40.7537986;0.34500000000000003;0.101;0.213;0.08700000000000001
Hutchinson County, South Dakota;19.5;80.5;21.7;5.1;81.4;24754.079365;97.15;0.30000000000000004;0.6000000000000001;0.1;0.75;1.1;5.4;13.8;7316;31.8;10.2;0.459;11.4;38.6;15.3;16.8;5.9;6.45;17.05;46.5;-97.7493828;43.3367101;0.294;0.097;0.134;0.036000000000000004
Lane County, Oregon;10.1;89.9;27.7;11.0;75.0;23683.81524;85.45;0.9500000000000001;1.0;2.5;3.35;6.75;20.35;8.4;347744;45.1;16.45;0.454;16.65;33.1;17.95;26.25;1.25;8.55;12.9;38.5;-122.8976779;43.9282763;0.267;0.08600000000000001;0.185;0.08600000000000001
Livingston County, Illinois;15.9;84.1;13.5;4.2;72.5;29000.63143;90.15;4.85;0.1;0.5;0.9500000000000001;3.45;20.2;5.95;38457;47.8;11.25;0.41000000000000003;15.45;25.55;19.1;22.6;0.75;9.9;22.15;40.2;-88.5528518;40.8943761;0.308;0.098;0.11;0.082
Coke County, Texas;13.7;86.3;11.8;2.9;74.6;21280.005715;78.55;0.5;0.85;0.30000000000000004;0.9500000000000001;18.8;50.7;11.0;3405;50.0;17.0;0.381;29.05;29.1;21.25;20.3;2.65;14.15;12.5;46.1;-100.6352358;31.877105;0.302;0.11800000000000001;0.303;0.062
Dukes County, Massachusetts;6.5;93.5;40.0;18.1;75.75;31559.17111;86.6;3.2;1.55;0.5;6.7;1.45;0.85;8.4;16105;79.0;8.3;0.461;4.25;30.05;19.05;22.95;1.5;19.6;6.85;44.3;-70.7015362;41.3809392;0.196;0.079;0.073;0.069
Okanogan County, Washington;16.2;83.8;17.7;7.0;70.75;22175.92508;69.25;0.35000000000000003;10.4;0.65;2.3;17.0;25.95;9.6;40413;32.2;19.55;0.452;27.1;31.6;18.0;23.45;7.15;8.95;10.8;42.2;-119.6910346;48.5509709;0.294;0.097;0.24;0.092
Pitkin County, Colorado;3.9;96.1;59.7;17.5;79.45;35895.41143;88.2;0.30000000000000004;0.1;1.2;1.5;8.8;9.35;8.15;16231;100.0;8.2;0.591;10.8;46.65;18.1;21.15;0.45;10.15;3.5;42.7;-106.9159433;39.2175333;0.14200000000000002;0.048;0.178;0.074
Barrow County, Georgia;21.1;78.9;14.9;4.9;73.8;29504.22381;75.95;11.2;0.2;3.25;1.45;7.95;16.9;14.15;67912;44.9;13.05;0.398;16.7;25.95;16.55;27.7;0.25;13.65;15.9;32.9;-83.7123025;33.9920094;0.322;0.116;0.226;0.084
Warren County, Indiana;16.8;83.2;13.1;4.1;75.15;28566.680635;97.9;0.05;0.1;0.55;0.9;0.5;23.3;7.9;8540;54.1;9.8;0.40700000000000003;13.9;27.05;15.05;19.6;1.25;12.4;24.65;41.8;-87.3758466;40.3526584;0.28500000000000003;0.124;0.151;0.065
Cherokee County, Kansas;13.4;86.6;14.5;5.5;73.55;22446.740635;89.95;0.55;3.65;0.2;4.0;1.7000000000000002;33.4;11.6;21449;29.2;17.05;0.442;23.0;25.75;17.7;22.15;0.75;11.8;21.85;39.7;-94.8456975;37.1693922;0.372;0.11900000000000001;0.151;0.073
Laramie County, Wyoming;8.4;91.6;22.9;8.0;71.9;27715.493015;80.95;2.65;0.8;1.05;2.25;12.2;18.25;4.2;89315;40.2;9.55;0.41500000000000004;13.95;33.4;16.75;25.55;0.65;10.3;13.3;36.8;-104.660395;41.2928302;0.258;0.083;0.153;0.061
Wilson County, North Carolina;22.7;77.3;17.5;4.1;77.65;25527.766665;50.25;38.6;0.2;0.7000000000000001;1.25;8.95;37.2;12.95;78999;52.2;20.6;0.448;29.65;28.5;16.75;22.35;1.35;11.6;19.35;38.5;-77.9189823;35.7041251;0.34900000000000003;0.138;0.199;0.125
San Miguel County, New Mexico;18.1;81.9;23.3;10.1;78.75;20865.805715;19.45;1.05;0.85;0.4;1.25;77.05;21.85;23.75;28996;37.0;24.7;0.47300000000000003;29.1;32.6;23.5;25.75;2.0;8.3;7.8;39.8;-104.8035146;35.4768758;0.224;0.08700000000000001;0.213;0.07200000000000001
Franklin Parish, Louisiana;30.5;69.5;11.3;3.6;74.05;19462.813335;66.85;31.55;0.15;0.15;0.7000000000000001;0.6000000000000001;46.05;18.5;20381;43.2;29.4;0.482;48.75;24.0;19.35;21.95;4.15;17.9;12.6;38.6;-91.672101;32.1382785;0.355;0.14300000000000002;0.23700000000000002;0.099
Lackawanna County, Pennsylvania;12.5;87.5;23.7;9.0;80.2;26566.054605;91.45;1.9500000000000002;0.1;1.35;1.15;4.0;26.35;10.0;211768;50.9;13.3;0.452;20.1;31.8;17.45;27.55;0.2;8.3;14.8;41.9;-75.6095869;41.4402497;0.249;0.112;0.122;0.09
Walthall County, Mississippi;26.7;73.3;14.0;3.6;81.45;21218.92;53.0;44.3;0.4;0.15;0.65;1.5;20.5;25.3;15373;70.8;22.75;0.462;30.5;29.55;12.6;20.9;2.6;14.2;20.2;36.6;-90.1034306;31.164492;0.393;0.153;0.246;0.114
