County,State,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Median Age,lon,lat,Adult.obesity,Diabetes,Uninsured,Unemployment
Craig County, Virginia,16.6,83.4,13.6,5.2,74.6,27748.2273,98.3,0.05,0.05,0.1,0.85,0.6,3.35,10.95,5122,50,8.35,0.327,9.55,26.4,16.15,25.3,0.9,7.85,23.45,43.2,-80.231734,37.4731287,0.3,0.101,0.156,0.068
Culpeper County, Virginia,17.4,82.6,21.6,8,73.25,33178.78603,72.5,15.55,0.25,1.35,2.3,8.1,4.9,6.85,45806,39.7,6.7,0.389,7.75,34.2,17,24.2,0.75,13.75,10.15,37.1,-77.9564758,38.4859303,0.33,0.1,0.17,0.064
Cumberland County, Virginia,27.5,72.5,12.5,4.1,74.35,25649.43238,62.35,33,0.2,0.15,2.35,1.95,31.7,14.85,9794,27.1,15.4,0.426,21.85,21.75,19.25,26.7,0.85,21.55,9.9,40.7,-78.2528364,37.5201891,0.322,0.13,0.203,0.068
Danville city, Virginia,24.2,75.8,16.2,6.1,75.1,21874.92826,48.75,46.7,0.2,0.85,0.95,2.55,49.4,14.8,44016,48,24,0.469,38.7,26.55,21.9,22.6,0.15,8.7,20.1,42.8,-79.4080707,36.5833337,0.332,0.124,0.167,0.106
Dickenson County, Virginia,35.8,64.2,8.6,3.5,67.3,23135.03111,97.9,0.7,0.05,0.05,0.75,0.45,29.25,11.1,16001,21.4,19.05,0.432,29.7,20.4,20.2,23.2,0.65,20.8,14.75,43.2,-82.3492083,37.137081,0.288,0.119,0.161,0.092
Dinwiddie County, Virginia,22.9,77.1,13.1,3.1,69.1,32957.35365,63.8,32.2,0.4,0.5,1.1,2,16.15,11.8,26894,23.9,11.7,0.399,14.25,27.35,17.25,25.45,0.95,12.8,16.15,40.1,-77.6354922,37.0734984,0.324,0.126,0.153,0.065
Emporia city, Virginia,28.4,71.6,15.4,7.9,69.9,22765.0873,32.25,62.2,0.1,0.45,0.9,4,38.5,20.3,5766,49.2,23.25,0.491,36,33.75,21.6,20.3,1.6,4.65,18.05,39.5,-77.5359753,36.696182,0.336,0.131,0.162,0.116
Essex County, Virginia,19.9,80.1,16.6,3.8,65.05,27763.25143,56.7,38.5,0.5,0.5,1.7,2.15,20.25,10.75,10982,27.7,8,0.398,10.85,28.25,19.35,27.35,0.65,12.25,12.2,44,-76.9418713,37.9394802,0.293,0.132,0.168,0.077
Fairfax city, Virginia,6.9,93.1,53.2,23.8,78.9,44549.23429,62.1,4.95,0.4,15.1,2.8,14.7,3.25,0.15,22967,51.3,4.4,0.381,3.9,54.2,12.65,22.35,0,7,3.7,39.6,-77.2990252,38.8531833,0.251,0.088,0.131,0.062
Fairfax County, Virginia,8.1,91.9,58,27.4,82,50388.31556,56.5,8.95,0.2,16.7,2.85,14.8,6.8,4.45,1047238,61,5.1,0.414,6.25,56.3,12.9,20.15,0.1,6.15,4.4,37.3,-77.2761174,38.8337425,0.222,0.078,0.123,0.042
Falls Church city, Virginia,4.3,95.7,71,40.6,83.65,56674.3508,74.3,4.55,0.15,9.3,2.45,9.2,1.55,8.3,11782,74.9,3.4,0.416,0.8,63.85,11.25,19.25,0,3.2,2.45,40.4,-77.1746385,38.8837873,0.267,0.095,0.075,0.068
Fauquier County, Virginia,10.3,89.7,30.8,11.9,80.1,39555.21238,82.25,8.15,0.3,1.45,2,5.85,5.85,6,65766,53.3,5.05,0.43,5.3,42.2,13.8,24.3,1.25,11.45,7.1,40.4,-77.8215847,38.7441032,0.279,0.103,0.127,0.047
Floyd County, Virginia,20.5,79.5,19.3,5.3,74.05,24633.11111,94.4,1.8,0.25,0.1,0.85,2.5,11.65,15.3,15017,28,14.8,0.407,20.25,29.75,18.15,22,1.65,14.3,14.15,43.6,-80.3503087,36.9314381,0.278,0.113,0.184,0.062
Fluvanna County, Virginia,14.5,85.5,25.8,8.8,75.2,33932.21651,79.1,16.4,0.2,0.55,1.25,2.45,13,6.55,25426,40.8,8.65,0.393,13.2,35.65,17.45,27.4,0.35,11.25,7.85,41.1,-78.2844452,37.8306058,0.301,0.1,0.136,0.047
Franklin city, Virginia,23.9,76.1,19,7.1,67.25,22613.06794,41.25,55.1,0.2,0.6,1.75,1,38.7,16.35,8655,52.2,22.3,0.475,37.65,29.55,23.1,21.95,2,9.9,13.55,39.7,-76.9413956,36.6840142,0.34,0.123,0.159,0.102
Franklin County, Virginia,20.1,79.9,15.2,5.7,76.55,26766.36349,87.6,8.65,0.1,0.3,1.1,2.2,18.3,8.15,53591,57,12.95,0.419,20.05,26.2,12.65,26.8,1.6,14.4,18.3,43.3,-79.8839586,36.9923498,0.29,0.117,0.18,0.059
Frederick County, Virginia,17,83,23.1,8.7,77.05,32666.66794,87.1,3.9,0.2,1.25,1.55,6,15.3,6.65,75212,46,8.45,0.386,12.35,33.4,14.35,25.3,0.75,11.55,14.7,38.7,-78.2639164,39.203637,0.293,0.09,0.146,0.053
Fredericksburg city, Virginia,13.4,86.6,31.9,13.4,76.05,25602.29016,64.15,21.3,0.3,2.45,2.6,9.2,30.5,8.8,23300,40.6,16.3,0.519,22.2,38.85,23.1,19.6,0.25,8.35,9.85,28.7,-77.4866583,38.2992718,0.323,0.09,0.179,0.085
Galax city, Virginia,26.5,73.5,12.7,4.1,71.8,23763.75238,81.65,6.1,0.35,0.25,0.7,10.9,35.9,21.7,6924,22,31.75,0.532,44.85,32.4,20.65,16.2,0,13.45,17.25,45.9,-80.9143083,36.6656397,0.299,0.108,0.209,0.087
Giles County, Virginia,19.7,80.3,16.1,6,76.15,27247.29302,96.2,1.5,0.05,0.15,1.1,0.95,17.75,12.5,17239,46.4,15.4,0.417,17.65,29.05,16.2,22.5,0.65,10.75,20.95,42.4,-80.7171778,37.3119298,0.325,0.128,0.159,0.069
Gloucester County, Virginia,14.7,85.3,19.2,6.3,71.3,31200.10826,85.35,9.25,0.45,0.85,1.65,2.45,16.6,8.05,37543,31.4,9.65,0.381,13.25,31.4,15.95,24.2,1.05,15.4,12,41.9,-76.5235051,37.4035413,0.31,0.12,0.15,0.054
